iter	Passed	Remaining
0	2	230
1	4	220
2	6	211
3	8	200
4	10	201
5	12	199
6	14	195
7	16	193
8	18	189
9	20	187
10	23	189
11	25	188
12	27	185
13	30	185
14	32	183
15	34	181
16	36	178
17	38	176
18	40	174
19	43	172
20	45	170
21	47	167
22	50	168
23	52	165
24	54	163
25	56	161
26	58	158
27	60	155
28	62	153
29	64	151
30	66	148
31	69	146
32	71	144
33	73	142
34	75	140
35	78	139
36	80	137
37	82	134
38	84	132
39	87	131
40	89	129
41	91	125
42	93	123
43	95	121
44	97	119
45	99	116
46	101	114
47	103	112
48	106	111
49	108	108
50	110	106
51	113	104
52	115	102
53	117	99
54	118	97
55	121	95
56	123	93
57	126	91
58	129	89
59	131	87
60	133	85
61	136	83
62	138	81
63	141	79
64	143	77
65	145	75
66	148	73
67	150	70
68	152	68
69	154	66
70	156	64
71	159	61
72	161	59
73	163	57
74	165	55
75	167	52
76	169	50
77	171	48
78	173	46
79	176	44
80	178	41
81	180	39
82	182	37
83	184	35
84	186	32
85	188	30
86	190	28
87	192	26
88	194	24
89	196	21
90	198	19
91	200	17
92	203	15
93	206	13
94	208	10
95	210	8
96	212	6
97	214	4
98	217	2
99	219	0
